	DATE	ASS_ASSIGNMENT	prediction
0	2012-12-28 00:00:00.000	CMS	0.0
1	2012-12-28 00:00:00.000	Crises	0.0
2	2012-12-28 00:00:00.000	Domicile	0.0
3	2012-12-28 00:00:00.000	Gestion	0.0
4	2012-12-28 00:00:00.000	Gestion - Accueil Telephonique	0.0
5	2012-12-28 00:00:00.000	Gestion Assurances	0.0
6	2012-12-28 00:00:00.000	Gestion Relation Clienteles	0.0
7	2012-12-28 00:00:00.000	Gestion Renault	0.0
8	2012-12-28 00:00:00.000	Japon	0.0
9	2012-12-28 00:00:00.000	Médical	0.0
10	2012-12-28 00:00:00.000	Nuit	2.144543170928955
11	2012-12-28 00:00:00.000	RENAULT	0.0
12	2012-12-28 00:00:00.000	Regulation Medicale	0.0
13	2012-12-28 00:00:00.000	SAP	0.0
14	2012-12-28 00:00:00.000	Services	0.0
15	2012-12-28 00:00:00.000	Tech. Axa	0.0
16	2012-12-28 00:00:00.000	Tech. Inter	0.0
17	2012-12-28 00:00:00.000	Téléphonie	0.0
18	2012-12-28 00:30:00.000	CMS	0.0
19	2012-12-28 00:30:00.000	Crises	0.0
20	2012-12-28 00:30:00.000	Domicile	0.0
21	2012-12-28 00:30:00.000	Gestion	0.0
22	2012-12-28 00:30:00.000	Gestion - Accueil Telephonique	0.0
23	2012-12-28 00:30:00.000	Gestion Assurances	0.0
24	2012-12-28 00:30:00.000	Gestion Relation Clienteles	0.0
25	2012-12-28 00:30:00.000	Gestion Renault	0.0
26	2012-12-28 00:30:00.000	Japon	0.0
27	2012-12-28 00:30:00.000	Médical	0.0
28	2012-12-28 00:30:00.000	Nuit	1.676995038986206
29	2012-12-28 00:30:00.000	RENAULT	0.0
30	2012-12-28 00:30:00.000	Regulation Medicale	0.0
31	2012-12-28 00:30:00.000	SAP	0.0
32	2012-12-28 00:30:00.000	Services	0.0
33	2012-12-28 00:30:00.000	Tech. Axa	0.0
34	2012-12-28 00:30:00.000	Tech. Inter	0.0
35	2012-12-28 00:30:00.000	Téléphonie	0.0
36	2012-12-28 01:00:00.000	CMS	0.0
37	2012-12-28 01:00:00.000	Crises	0.0
38	2012-12-28 01:00:00.000	Domicile	0.0
39	2012-12-28 01:00:00.000	Gestion	0.0
40	2012-12-28 01:00:00.000	Gestion - Accueil Telephonique	0.0
41	2012-12-28 01:00:00.000	Gestion Assurances	0.0
42	2012-12-28 01:00:00.000	Gestion Relation Clienteles	0.0
43	2012-12-28 01:00:00.000	Gestion Renault	0.0
44	2012-12-28 01:00:00.000	Japon	0.0
45	2012-12-28 01:00:00.000	Médical	0.0
46	2012-12-28 01:00:00.000	Nuit	0.0
47	2012-12-28 01:00:00.000	RENAULT	0.0
48	2012-12-28 01:00:00.000	Regulation Medicale	0.0
49	2012-12-28 01:00:00.000	SAP	0.0
50	2012-12-28 01:00:00.000	Services	0.0
51	2012-12-28 01:00:00.000	Tech. Axa	0.0
52	2012-12-28 01:00:00.000	Tech. Inter	0.0
53	2012-12-28 01:00:00.000	Téléphonie	0.0
54	2012-12-28 01:30:00.000	CMS	0.0
55	2012-12-28 01:30:00.000	Crises	0.0
56	2012-12-28 01:30:00.000	Domicile	0.0
57	2012-12-28 01:30:00.000	Gestion	0.0
58	2012-12-28 01:30:00.000	Gestion - Accueil Telephonique	0.0
59	2012-12-28 01:30:00.000	Gestion Assurances	0.0
60	2012-12-28 01:30:00.000	Gestion Relation Clienteles	0.0
61	2012-12-28 01:30:00.000	Gestion Renault	0.0
62	2012-12-28 01:30:00.000	Japon	0.0
63	2012-12-28 01:30:00.000	Médical	0.0
64	2012-12-28 01:30:00.000	Nuit	0.0
65	2012-12-28 01:30:00.000	RENAULT	0.0
66	2012-12-28 01:30:00.000	Regulation Medicale	0.0
67	2012-12-28 01:30:00.000	SAP	0.0
68	2012-12-28 01:30:00.000	Services	0.0
69	2012-12-28 01:30:00.000	Tech. Axa	0.0
70	2012-12-28 01:30:00.000	Tech. Inter	0.0
71	2012-12-28 01:30:00.000	Téléphonie	0.0
72	2012-12-28 02:00:00.000	CMS	0.0
73	2012-12-28 02:00:00.000	Crises	0.0
74	2012-12-28 02:00:00.000	Domicile	0.0
75	2012-12-28 02:00:00.000	Gestion	0.0
76	2012-12-28 02:00:00.000	Gestion - Accueil Telephonique	0.0
77	2012-12-28 02:00:00.000	Gestion Assurances	0.0
78	2012-12-28 02:00:00.000	Gestion Relation Clienteles	0.0
79	2012-12-28 02:00:00.000	Gestion Renault	0.0
80	2012-12-28 02:00:00.000	Japon	0.0
81	2012-12-28 02:00:00.000	Médical	0.0
82	2012-12-28 02:00:00.000	Nuit	0.0
83	2012-12-28 02:00:00.000	RENAULT	0.0
84	2012-12-28 02:00:00.000	Regulation Medicale	0.0
85	2012-12-28 02:00:00.000	SAP	0.0
86	2012-12-28 02:00:00.000	Services	0.0
87	2012-12-28 02:00:00.000	Tech. Axa	0.0
88	2012-12-28 02:00:00.000	Tech. Inter	0.0
89	2012-12-28 02:00:00.000	Téléphonie	0.0
90	2012-12-28 02:30:00.000	CMS	0.0
91	2012-12-28 02:30:00.000	Crises	0.0
92	2012-12-28 02:30:00.000	Domicile	0.0
93	2012-12-28 02:30:00.000	Gestion	0.0
94	2012-12-28 02:30:00.000	Gestion - Accueil Telephonique	0.0
95	2012-12-28 02:30:00.000	Gestion Assurances	0.0
96	2012-12-28 02:30:00.000	Gestion Relation Clienteles	0.0
97	2012-12-28 02:30:00.000	Gestion Renault	0.0
98	2012-12-28 02:30:00.000	Japon	0.0
99	2012-12-28 02:30:00.000	Médical	0.0
100	2012-12-28 02:30:00.000	Nuit	0.0
101	2012-12-28 02:30:00.000	RENAULT	0.0
102	2012-12-28 02:30:00.000	Regulation Medicale	0.0
103	2012-12-28 02:30:00.000	SAP	0.0
104	2012-12-28 02:30:00.000	Services	0.0
105	2012-12-28 02:30:00.000	Tech. Axa	0.0
106	2012-12-28 02:30:00.000	Tech. Inter	0.0
107	2012-12-28 02:30:00.000	Téléphonie	0.0
108	2012-12-28 03:00:00.000	CMS	0.0
109	2012-12-28 03:00:00.000	Crises	0.0
110	2012-12-28 03:00:00.000	Domicile	0.0
111	2012-12-28 03:00:00.000	Gestion	0.0
112	2012-12-28 03:00:00.000	Gestion - Accueil Telephonique	0.0
113	2012-12-28 03:00:00.000	Gestion Assurances	0.0
114	2012-12-28 03:00:00.000	Gestion Relation Clienteles	0.0
115	2012-12-28 03:00:00.000	Gestion Renault	0.0
116	2012-12-28 03:00:00.000	Japon	0.0
117	2012-12-28 03:00:00.000	Médical	0.0
118	2012-12-28 03:00:00.000	Nuit	0.0
119	2012-12-28 03:00:00.000	RENAULT	0.0
120	2012-12-28 03:00:00.000	Regulation Medicale	0.0
121	2012-12-28 03:00:00.000	SAP	0.0
122	2012-12-28 03:00:00.000	Services	0.0
123	2012-12-28 03:00:00.000	Tech. Axa	0.0
124	2012-12-28 03:00:00.000	Tech. Inter	0.0
125	2012-12-28 03:00:00.000	Téléphonie	0.0
126	2012-12-28 03:30:00.000	CMS	0.0
127	2012-12-28 03:30:00.000	Crises	0.0
128	2012-12-28 03:30:00.000	Domicile	0.0
129	2012-12-28 03:30:00.000	Gestion	0.0
130	2012-12-28 03:30:00.000	Gestion - Accueil Telephonique	0.0
131	2012-12-28 03:30:00.000	Gestion Assurances	0.0
132	2012-12-28 03:30:00.000	Gestion Relation Clienteles	0.0
133	2012-12-28 03:30:00.000	Gestion Renault	0.0
134	2012-12-28 03:30:00.000	Japon	0.0
135	2012-12-28 03:30:00.000	Médical	0.0
136	2012-12-28 03:30:00.000	Nuit	0.0
137	2012-12-28 03:30:00.000	RENAULT	0.0
138	2012-12-28 03:30:00.000	Regulation Medicale	0.0
139	2012-12-28 03:30:00.000	SAP	0.0
140	2012-12-28 03:30:00.000	Services	0.0
141	2012-12-28 03:30:00.000	Tech. Axa	0.0
142	2012-12-28 03:30:00.000	Tech. Inter	0.0
143	2012-12-28 03:30:00.000	Téléphonie	0.0
144	2012-12-28 04:00:00.000	CMS	0.0
145	2012-12-28 04:00:00.000	Crises	0.0
146	2012-12-28 04:00:00.000	Domicile	0.0
147	2012-12-28 04:00:00.000	Gestion	0.0
148	2012-12-28 04:00:00.000	Gestion - Accueil Telephonique	0.0
149	2012-12-28 04:00:00.000	Gestion Assurances	0.0
150	2012-12-28 04:00:00.000	Gestion Relation Clienteles	0.0
151	2012-12-28 04:00:00.000	Gestion Renault	0.0
152	2012-12-28 04:00:00.000	Japon	0.0
153	2012-12-28 04:00:00.000	Médical	0.0
154	2012-12-28 04:00:00.000	Nuit	0.0
155	2012-12-28 04:00:00.000	RENAULT	0.0
156	2012-12-28 04:00:00.000	Regulation Medicale	0.0
157	2012-12-28 04:00:00.000	SAP	0.0
158	2012-12-28 04:00:00.000	Services	0.0
159	2012-12-28 04:00:00.000	Tech. Axa	0.0
160	2012-12-28 04:00:00.000	Tech. Inter	0.0
161	2012-12-28 04:00:00.000	Téléphonie	0.0
162	2012-12-28 04:30:00.000	CMS	0.0
163	2012-12-28 04:30:00.000	Crises	0.0
164	2012-12-28 04:30:00.000	Domicile	0.0
165	2012-12-28 04:30:00.000	Gestion	0.0
166	2012-12-28 04:30:00.000	Gestion - Accueil Telephonique	0.0
167	2012-12-28 04:30:00.000	Gestion Assurances	0.0
168	2012-12-28 04:30:00.000	Gestion Relation Clienteles	0.0
169	2012-12-28 04:30:00.000	Gestion Renault	0.0
170	2012-12-28 04:30:00.000	Japon	0.0
171	2012-12-28 04:30:00.000	Médical	0.0
172	2012-12-28 04:30:00.000	Nuit	0.0
173	2012-12-28 04:30:00.000	RENAULT	0.0
174	2012-12-28 04:30:00.000	Regulation Medicale	0.0
175	2012-12-28 04:30:00.000	SAP	0.0
176	2012-12-28 04:30:00.000	Services	0.0
177	2012-12-28 04:30:00.000	Tech. Axa	0.0
178	2012-12-28 04:30:00.000	Tech. Inter	0.0
179	2012-12-28 04:30:00.000	Téléphonie	0.0
180	2012-12-28 05:00:00.000	CMS	0.0
181	2012-12-28 05:00:00.000	Crises	0.0
